Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
SITUATION-4c,Up-to-date policies or other organizational directives define requirements for activities in the SITUATION domain,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,3
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",N,,,5
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,Y,SITUATION-4d:G1,,4
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,Y,SITUATION-4d:G1,,7
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",Y,SITUATION-4d:G1,,4
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,Y,SITUATION-4d:G1,,7
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Functional,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",Y,SITUATION-4d:G1,,7
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Functional,intersects with,PR.AT-4,Senior executives understand their roles and responsibilities,Y,SITUATION-4d:G1,,7
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Functional,intersects with,PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities,Y,SITUATION-4d:G1,,7
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Semantic,intersects with,DE.DP-1,Roles and responsibilities for detection are well defined to ensure accountability,Y,SITUATION-4d:G1,,8
SITUATION-4d,"Responsibility, accountability, and authority for the performance of activities in the SITUATION domain are assigned to personnel",Semantic,intersects with,RS.CO-1,Personnel know their roles and order of operations when a response is needed,N,,,6
SITUATION-4e,Personnel performing activities in the SITUATION domain have the skills and knowledge needed to perform their assigned responsibilities,Semantic,subset of,PR.AT-1,All users are informed and trained,Y,,,5
SITUATION-4f,The effectiveness of activities in the SITUATION domain is evaluated and tracked,Functional,intersects with,PR.IP-7,Protection processes are improved,N,,,4
SITUATION-4f,The effectiveness of activities in the SITUATION domain is evaluated and tracked,Semantic,intersects with,DE.DP-5,Detection processes are continuously improved,N,,,5
RESPONSE-1a,"Detected cybersecurity events are reported to a specified person or role and documented, at least in an ad hoc manner",Semantic,intersects with,DE.DP-4,Event detection information is communicated,N,,,7
RESPONSE-1a,"Detected cybersecurity events are reported to a specified person or role and documented, at least in an ad hoc manner",Semantic,intersects with,RS.CO-2,Incidents are reported consistent with established criteria,N,,,5
RESPONSE-1b,"Criteria are established for cybersecurity event detection (for example, what constitutes a cybersecurity event, where to look for cybersecurity events)",Functional,intersects with,DE.DP-2,Detection activities comply with all applicable requirements,N,,,5
RESPONSE-1c,Cybersecurity events are documented based on the established criteria,Functional,intersects with,DE.DP-2,Detection activities comply with all applicable requirements,N,,,5
RESPONSE-1c,Cybersecurity events are documented based on the established criteria,Semantic,intersects with,RS.CO-2,Incidents are reported consistent with established criteria,N,,,3
RESPONSE-1d,"Event information is correlated to support incident analysis by identifying patterns, trends, and other common features",Semantic,intersects with,DE.AE-2,Detected events are analyzed to understand attack targets and methods,N,,,7
RESPONSE-1d,"Event information is correlated to support incident analysis by identifying patterns, trends, and other common features",Semantic,intersects with,DE.AE-3,Event data are collected and correlated from multiple sources and sensors,N,,,6
RESPONSE-1d,"Event information is correlated to support incident analysis by identifying patterns, trends, and other common features",Semantic,intersects with,RS.AN-1,Notifications from detection systems are investigated,N,,,3
RESPONSE-1d,"Event information is correlated to support incident analysis by identifying patterns, trends, and other common features",Semantic,intersects with,RS.AN-4,Incidents are categorized consistent with response plans,N,,,2
RESPONSE-1e,Cybersecurity event detection activities are adjusted based on identified risks and the organization's threat profile (THREAT-2e),Semantic,intersects with,DE.DP-5,Detection processes are continuously improved,N,,,6
RESPONSE-1f,Situational awareness for the function is monitored to support the identification of cybersecurity events,Semantic,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,N,,,5
RESPONSE-1f,Situational awareness for the function is monitored to support the identification of cybersecurity events,Semantic,intersects with,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,N,,,5
RESPONSE-1f,Situational awareness for the function is monitored to support the identification of cybersecurity events,Semantic,intersects with,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,N,,,5
RESPONSE-1f,Situational awareness for the function is monitored to support the identification of cybersecurity events,Semantic,intersects with,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,N,,,5
